Team,Conference,Division,City,Postal,Arena,Capacity,Latitude,Longitude,Founded,Joined,Head coach
Boston Celtics,Eastern,Atlantic,Boston,MA,TD Garden,18624,42.366303,-71.062228,1946,1946,Brad Stevens
Brooklyn Nets,Eastern,Atlantic,New York City,NY,Barclays Center,17732,40.68265,-73.974689,1967,1976,Kenny Atkinson
New York Knicks,Eastern,Atlantic,New York City,NY,Madison Square Garden,19812,40.750556,-73.993611,1946,1946,Jeff Hornacek
Philadelphia 76ers,Eastern,Atlantic,Philadelphia,PA,Wells Fargo Center,21600,39.901111,-75.171944,1946,1949,Brett Brown
Toronto Raptors,Eastern,Atlantic,Toronto,ON,Air Canada Centre,19800,43.643333,-79.379167,1995,1995,Dwane Casey
Chicago Bulls,Eastern,Central,Chicago,IL,United Center,20917,41.880556,-87.674167,1966,1966,Fred Hoiberg
Cleveland Cavaliers,Eastern,Central,Cleveland,OH,Quicken Loans Arena,20562,41.496389,-81.688056,1970,1970,Tyronn Lue
Detroit Pistons,Eastern,Central,Detroit,MI,Little Caesars Arena,20491,42.696944,-83.245556,1941,1948,Stan Van Gundy
Indiana Pacers,Eastern,Central,Indianapolis,IN,Bankers Life Fieldhouse,17923,39.763889,-86.155556,1967,1976,Nate McMillan
Milwaukee Bucks,Eastern,Central,Milwaukee,WI,Bradley Center,18717,43.043611,-87.916944,1968,1968,Joe Prunty
Atlanta Hawks,Eastern,Southeast,Atlanta,GA,Philips Arena,15711,33.757222,-84.396389,1946,1949,Mike Budenholzer
Charlotte Hornets,Eastern,Southeast,Charlotte,NC,Spectrum Center,19077,35.225,-80.839167,1988,1988,Steve Clifford
Miami Heat,Eastern,Southeast,Miami,FL,American Airlines Arena,19600,25.781389,-80.188056,1988,1988,Erik Spoelstra
Orlando Magic,Eastern,Southeast,Orlando,FL,Amway Center,18846,28.539167,-81.383611,1989,1989,Frank Vogel
Washington Wizards,Eastern,Southeast,Washington,DC,Capital One Arena,20356,38.898056,-77.020833,1961,1961,Scott Brooks
Denver Nuggets,Western,Northwest,Denver,CO,Pepsi Center,19520,39.748611,-105.0075,1967,1976,Michael Malone
Minnesota Timberwolves,Western,Northwest,Minneapolis,MN,Target Center,19356,44.979444,-93.276111,1989,1989,Tom Thibodeau
Oklahoma City Thunder,Western,Northwest,Oklahoma City,OK,Chesapeake Energy Arena,18203,35.463333,-97.515,1967,1967,Billy Donovan
Portland Trail Blazers,Western,Northwest,Portland,OR,Moda Center,19441,45.531667,-122.666667,1970,1970,Terry Stotts
Utah Jazz,Western,Northwest,Salt Lake City,UT,Vivint Smart Home Arena,19911,40.768333,-111.901111,1974,1974,Quin Snyder
Golden State Warriors,Western,Pacific,Oakland,CA,Oracle Arena,19596,37.750278,-122.203056,1946,1946,Steve Kerr
Los Angeles Clippers,Western,Pacific,Los Angeles,CA,Staples Center,19060,34.043056,-118.267222,1970,1970,Doc Rivers
Los Angeles Lakers,Western,Pacific,Los Angeles,CA,Staples Center,18997,34.043056,-118.267222,1947,1948,Luke Walton
Phoenix Suns,Western,Pacific,Phoenix,AZ,Talking Stick Resort Arena,18055,33.445833,-112.071389,1968,1968,Jay Triano
Sacramento Kings,Western,Pacific,Sacramento,CA,Golden 1 Center,17500,38.649167,-121.518056,1923,1948,Dave Joerger
Dallas Mavericks,Western,Southwest,Dallas,TX,American Airlines Center,19200,32.790556,-96.810278,1980,1980,Rick Carlisle
Houston Rockets,Western,Southwest,Houston,TX,Toyota Center,18055,29.750833,-95.362222,1967,1967,Mike D'Antoni
Memphis Grizzlies,Western,Southwest,Memphis,TN,FedExForum,18119,35.138333,-90.050556,1995,1995,J. B. Bickerstaff
New Orleans Pelicans,Western,Southwest,New Orleans,LA,Smoothie King Center,16867,29.948889,-90.081944,2002,2002,Alvin Gentry
San Antonio Spurs,Western,Southwest,San Antonio,TX,AT&T Center,18418,29.426944,-98.4375,1967,1976,Gregg Popovich
